filename,age
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/100_1_0_20170112213001988.jpg.chip.jpg,100
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/57_0_3_20170119211458431.jpg.chip.jpg,57
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/13_0_0_20170110232526929.jpg.chip.jpg,13
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/29_1_1_20170114024847193.jpg.chip.jpg,29
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/57_1_0_20170104205902805.jpg.chip.jpg,57
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/52_0_0_20170109003616600.jpg.chip.jpg,52
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/20_1_4_20170103223401848.jpg.chip.jpg,20
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/37_0_0_20170109013431279.jpg.chip.jpg,37
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/26_0_3_20170119180344516.jpg.chip.jpg,26
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/41_0_4_20170104173222571.jpg.chip.jpg,41
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/50_0_3_20170119204521040.jpg.chip.jpg,50
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/45_0_0_20170117183156790.jpg.chip.jpg,45
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/26_0_1_20170116210257827.jpg.chip.jpg,26
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/40_0_0_20170117193923355.jpg.chip.jpg,40
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/35_0_4_20170117153255579.jpg.chip.jpg,35
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/25_1_2_20170116201708376.jpg.chip.jpg,25
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/17_1_0_20170109213642438.jpg.chip.jpg,17
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/4_0_2_20161219194148499.jpg.chip.jpg,4
/content/drive/MyDrive/GraduationCapston/Foreigner_age_predict/change_brightness_UTK/26_0_1_20170113134247025.jpg.chip.jpg,26
